id,ordinamento,nome_italiano,nome_inglese,prezzo,prezzo_asporto,asporto,solo_asporto,photo,descrizione_italiano,descrizione_inglese,show_desc,surgelato,allergeni,id_sottocategoria_menu,enable,created_at,updated_at
83,39,FOCACCIA BRESAOLA,FOCACCIA BRESAOLA,9.5,8.5,1,0,,"bresaola, rucola, grana","bresaola, rocket, parmesan cheese",0,0,"[""4"", ""5""]",12,1,2024-08-02 17:37:22,2024-09-27 15:22:51
84,40,FOCACCIA MORTADELLA,FOCACCIA MORTADELLA,11.0,8.5,1,0,,"mortadella, stracciatella e granella di pistacchio","mortadella, pistacchio, stracciatella cheese",0,0,"[""5"", ""4"", ""3""]",12,1,2024-08-02 17:39:10,2024-09-27 15:22:51
85,41,FOCACCIA BUFALA,FOCACCIA BUFALA,11.0,8.5,1,0,,"mozzarella di bufala, rucola, pachino, olive, grana","mozzarella di bufala, rocket, tomatoes, olives, parmesan",0,0,"[""5"", ""4""]",12,1,2024-08-02 17:40:54,2024-09-27 15:22:51
86,84,Joy rosè,Joy,20.0,,0,0,,Prosecco rosè brut,Prosecco rosè brut ,0,0,[],6,1,2024-08-03 16:44:28,2024-10-06 11:01:54
87,85,Kius,Kius,32.0,,0,0,,Marco Carpineti (bellone metodo classico),Marco carpineti (bellone metodo classico ),0,0,[],6,1,2024-08-03 16:46:05,2024-10-06 11:01:54
88,9,"CRUDO, PESTO DI BASILICO, POMODORINI CONFIT","Crudo, pesto di basilico, pomodorini confit",4.5,,0,0,,,,0,0,"[""4""]",8,0,2024-08-25 17:40:37,2024-09-27 15:22:51
89,11,IL BRUCIATO,IL BRUCIATO,42.0,,0,0,,"ANTINORI BOLGHERI DOC (Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot, Syrah)",,0,0,[],4,1,2024-09-27 15:28:27,2024-10-17 18:05:55
90,12,BUFERA,BUFERA ,25.0,,0,0,,Terre d’arengo (Montepulciano 85% Sangiovese 15%),,0,0,[],4,1,2024-09-27 15:34:44,2024-10-17 18:05:55
91,43,Ribolla gialla ,Ribolla gialla,5.0,,0,0,,Sasster,,0,0,[],3,1,2024-09-27 17:25:59,2024-10-06 11:01:53
92,42,Trebbiano d'Abruzzo,Trebbiano d'Abruzzo,5.0,,0,0,,Talamo ti ,,0,0,[],3,1,2024-09-27 17:41:00,2024-10-06 11:01:53
93,13,BAROLO ,BAROLO,60.0,,0,0,,Ettore Germano (100% Nebbiolo),,0,0,[],4,1,2024-10-16 16:55:00,2024-10-17 18:05:55
94,14,Nebbiolo ,NEBBIOLO ,25.0,,0,0,,Ettore Germano (100% Nebbiolo),,0,0,[],4,0,2024-10-16 16:58:31,2024-10-17 18:05:55
95,15,Barbera d'Alba ,barbera d'Alba,25.0,,0,0,,Ettore Germano (100% Barbera),,0,0,[],4,1,2024-10-16 17:00:39,2024-10-17 18:05:55
96,16,CONCADORO CHIANTI CLASSICO ,CONCADORO CHIANTI CLASSICO ,23.0,,0,0,,"Cerasi  (90% Sangiovese, 10% Canaiolo)",,0,0,[],4,1,2024-10-16 17:26:54,2024-10-17 18:05:55
97,17,MASSITIUM ,MASSITIUM ,25.0,,0,0,,PILEUM (100% Cesanese),,0,0,[],4,1,2024-10-17 17:48:45,2024-10-17 18:06:05
98,12,Mozzarella senza lattosio,Mozzarella no lattosio,1.0,,0,0,,,,0,0,[],9,1,2024-10-18 18:41:24,2024-10-18 18:42:52
99,12,Mozzarella senza lattosio,Mozzarella no lattosio,1.0,,0,0,,,,0,0,[],10,1,2024-10-18 18:43:45,2024-10-18 18:44:17
